Year,Section,Population,Deployed_Amount,Crime_Amount,Crime_Rate
2011,avon-and-somerset,1691780,6235,182458,0.10784972041281964
2011,bedfordshire,684696,2500,74919,0.10941936275368923
2011,cambridgeshire,852836,2846,85891,0.10071221196103354
2011,cheshire,1082510,4248,94322,0.08713268237706812
2011,city-of-london,77727,1367,8450,0.10871383174443887
2011,cleveland,583129,2300,96033,0.16468568704351869
2011,cumbria,513874,2353,54033,0.10514834375741913
2011,derbyshire,1084515,3959,120767,0.11135576732456444
2011,dorset,788457,3115,82076,0.10409698943632943
2011,durham,764171,2615,78902,0.10325175909580447
2011,dyfed-powys,618557,2177,46820,0.07569229674872324
2011,essex,1831868,6913,162895,0.08892289182408339
2011,gloucestershire,645959,2462,64695,0.10015341530964039
2011,greater-manchester,2715609,13329,355748,0.13100118610595266
2011,gwent,623704,2685,73800,0.11832535946538743
2011,hampshire,2125682,6900,210516,0.09903456867019621
2011,hertfordshire,1197006,4454,113749,0.09502792801372759
2011,humberside,935818,4414,105374,0.11260095445909354
2011,kent,1761226,7128,169957,0.09649925676772884
2011,lancashire,1541734,6391,205134,0.13305408066501745
2011,leicestershire,1081964,3993,101080,0.09342270167953833
2011,lincolnshire,749664,2511,77068,0.1028033892517181
2011,merseyside,1423017,7590,158033,0.1110548925276367
2011,norfolk,895595,3331,85192,0.09512335374806692
2011,north-wales,715852,2915,70774,0.09886680487028045
2011,north-yorkshire,1036134,2986,77980,0.07526053579942363
2011,northamptonshire,772664,3018,88922,0.11508495283849124
2011,northumbria,1448475,6983,171670,0.11851775142822624
2011,nottinghamshire,1166458,4693,137678,0.11803082494183245
2011,south-wales,1359102,5562,158106,0.11633122458800002
2011,south-yorkshire,1461138,6084,206381,0.1412467542422413
2011,staffordshire,1208992,4250,92768,0.07673169053227813
2011,suffolk,792603,2800,81554,0.10289388256163552
2011,surrey,1280414,4705,112168,0.08760291593187829
2011,sussex,1677414,5974,182154,0.10859215435187736
2011,thames-valley,2464081,8852,205077,0.08322656600980244
2011,warwickshire,658292,2094,55595,0.08445340365673591
2011,west-mercia,1358781,4692,134601,0.09906011343991415
2011,west-midlands,2790214,13204,320446,0.11484638812650212
2011,west-yorkshire,2284866,10481,297608,0.13025183971401386
2011,wiltshire,769476,2588,61517,0.0799466130197693
2012,avon-and-somerset,1705253,5917,159000,0.0932412961595728
2012,bedfordshire,693904,2374,64895,0.09352158223615947
2012,cambridgeshire,860790,2788,77067,0.08953054752030112
2012,cheshire,1079556,4104,96586,0.08946826287844262
2012,city-of-london,56347,1320,7295,0.12946563259800878
2012,cleveland,570426,2111,81107,0.14218671659426463
2012,cumbria,526649,2236,49460,0.09391454270301472
2012,derbyshire,1138374,3642,105837,0.09297208123165146
2012,dorset,789720,2866,72582,0.09190852454034341
2012,durham,693943,2488,59559,0.0858269339124395
2012,dyfed-powys,574621,2097,43241,0.0752513395786092
2012,essex,1833731,6408,157808,0.08605842405456417
2012,gloucestershire,630793,2333,55295,0.08765950161146367
2012,greater-manchester,2735427,12654,309315,0.11307740985228266
2012,gwent,664052,2630,54746,0.0824423388529814
2012,hampshire,2190693,6551,183141,0.0835995732857137
2012,hertfordshire,1170995,4334,92827,0.07927190124637594
2012,humberside,939656,4249,87788,0.09342567918472292
2012,kent,1801846,6670,155173,0.08611890250332159
2012,lancashire,1509073,6148,182923,0.12121547466557284
2012,leicestershire,1068432,3944,86516,0.0809747368105785
2012,lincolnshire,741354,2391,67740,0.09137335200187764
2012,merseyside,1412413,7343,152139,0.10771566107080578
2012,norfolk,937678,3272,70999,0.07571789036321637
2012,north-wales,710100,2785,67319,0.0948021405435854
2012,north-yorkshire,931695,2775,71959,0.07723450270743108
2012,northamptonshire,780251,2808,80374,0.10301044151176993
2012,northumbria,1460721,6360,158213,0.10831158037708775
2012,nottinghamshire,1152904,4292,110464,0.09581370174793391
