,Year,Geo_Code,Force_Name,Deployed_Amount
0,2010,E23000001,Metropolitan Police,56907
1,2010,E23000002,Cumbria,2437
2,2010,E23000003,Lancashire,6755
3,2010,E23000004,Merseyside,7916
4,2010,E23000005,Greater Manchester,13896
5,2010,E23000006,Cheshire,4379
6,2010,E23000007,Northumbria,7099
7,2010,E23000008,Durham,2855
8,2010,E23000009,North Yorkshire,3119
9,2010,E23000010,West Yorkshire,10929
10,2010,E23000011,South Yorkshire,6313
11,2010,E23000012,Humberside,4593
12,2010,E23000013,Cleveland,2968
13,2010,E23000014,West Midlands,14224
14,2010,E23000015,Staffordshire,4413
15,2010,E23000016,West Mercia,4871
16,2010,E23000017,Warwickshire,2164
17,2010,E23000018,Derbyshire,4136
18,2010,E23000019,Nottinghamshire,4877
19,2010,E23000020,Lincolnshire,2523
20,2010,E23000021,Leicestershire,4230
21,2010,E23000022,Northamptonshire,3121
22,2010,E23000023,Cambridgeshire,3033
23,2010,E23000024,Norfolk,3478
24,2010,E23000025,Suffolk,2856
25,2010,E23000026,Bedfordshire,2545
26,2010,E23000027,Hertfordshire,4621
27,2010,E23000028,Essex,7199
28,2010,E23000029,Thames Valley,8640
29,2010,E23000030,Hampshire,7278
30,2010,E23000031,Surrey,4697
31,2010,E23000032,Kent,7476
32,2010,E23000033,Sussex,6266
33,2010,E23000034,"London, City of",1312
34,2010,E23000035,Devon & Cornwall,6867
35,2010,E23000036,Avon & Somerset,6342
36,2010,E23000037,Gloucestershire,2509
37,2010,E23000038,Wiltshire,2708
38,2010,E23000039,Dorset,3204
39,2010,W15000001,North Wales,2978
40,2010,W15000002,Gwent,2626
41,2010,W15000003,South Wales,5861
42,2010,W15000004,Dyfed-Powys,2257
43,2011,E23000001,Metropolitan Police,56739
44,2011,E23000002,Cumbria,2353
45,2011,E23000003,Lancashire,6391
46,2011,E23000004,Merseyside,7590
47,2011,E23000005,Greater Manchester,13329
48,2011,E23000006,Cheshire,4248
49,2011,E23000007,Northumbria,6983
50,2011,E23000008,Durham,2615
51,2011,E23000009,North Yorkshire,2986
52,2011,E23000010,West Yorkshire,10481
53,2011,E23000011,South Yorkshire,6084
54,2011,E23000012,Humberside,4414
55,2011,E23000013,Cleveland,2300
56,2011,E23000014,West Midlands,13204
57,2011,E23000015,Staffordshire,4250
