Year,Month,Section,Amount
2010,12,avon-and-somerset,12201
2010,12,bedfordshire,5393
2010,12,btp,1470
2010,12,cambridgeshire,5916
2010,12,cheshire,4363
2010,12,city-of-london,635
2010,12,cleveland,6195
2010,12,cumbria,4083
2010,12,derbyshire,8316
2010,12,devon-and-cornwall,9829
2010,12,dorset,6190
2010,12,durham,2119
2010,12,dyfed-powys,3330
2010,12,essex,11736
2010,12,gloucestershire,4581
2010,12,greater-manchester,25968
2010,12,gwent,6258
2010,12,hampshire,14347
2010,12,hertfordshire,8843
2010,12,humberside,6976
2010,12,kent,12811
2010,12,lancashire,15013
2010,12,leicestershire,7339
2010,12,lincolnshire,4999
2010,12,merseyside,11194
2010,12,metropolitan,92442
2010,12,norfolk,6077
2010,12,north-wales,5335
2010,12,north-yorkshire,5439
2010,12,northamptonshire,5949
2010,12,northumbria,12072
2010,12,nottinghamshire,9478
2010,12,south-wales,11473
2010,12,south-yorkshire,13405
2010,12,staffordshire,6942
2010,12,suffolk,5631
2010,12,surrey,8718
2010,12,sussex,12988
2010,12,thames-valley,16071
2010,12,warwickshire,3958
2010,12,west-mercia,9643
2010,12,west-midlands,22838
2010,12,west-yorkshire,21296
2010,12,wiltshire,4338
2011,1,avon-and-somerset,13781
2011,1,bedfordshire,5862
2011,1,btp,1755
2011,1,cambridgeshire,6682
2011,1,cheshire,4837
2011,1,city-of-london,696
2011,1,cleveland,7256
2011,1,cumbria,4116
2011,1,derbyshire,9424
2011,1,devon-and-cornwall,10220
2011,1,dorset,3187
2011,1,durham,6358
2011,1,dyfed-powys,3636
2011,1,essex,12565
2011,1,gloucestershire,4934
2011,1,greater-manchester,29267
2011,1,gwent,6544
2011,1,hampshire,15767
2011,1,hertfordshire,9097
2011,1,humberside,8949
2011,1,kent,13249
2011,1,lancashire,16041
2011,1,leicestershire,7939
2011,1,lincolnshire,6290
2011,1,merseyside,12188
2011,1,metropolitan,99099
2011,1,norfolk,6678
2011,1,north-wales,5177
2011,1,north-yorkshire,6261
2011,1,northamptonshire,6641
2011,1,northumbria,13282
2011,1,nottinghamshire,10782
2011,1,south-wales,13082
2011,1,south-yorkshire,15676
2011,1,staffordshire,7057
2011,1,suffolk,6044
2011,1,surrey,8785
2011,1,sussex,11303
2011,1,thames-valley,14545
2011,1,warwickshire,4393
2011,1,west-mercia,10749
2011,1,west-midlands,25515
2011,1,west-yorkshire,24287
2011,1,wiltshire,4510
2011,2,avon-and-somerset,13998
2011,2,bedfordshire,5864
2011,2,btp,1683
2011,2,cambridgeshire,6481
2011,2,cheshire,4725
2011,2,city-of-london,678
